club_ID,club_Name,city,state,country,Address,timestamp_Updated,distance,course_ID,course_Name,num_Holes,has_GPS
1.34E+15,A-Ga-Ming Golf Resort,Kewadin,MI,USA,627 Ag A Ming Drive,7/3/2022 12:05,,1.21E+19,Antrim Dells,18,1
1.34E+15,A-Ga-Ming Golf Resort,Kewadin,MI,USA,627 Ag A Ming Drive,7/3/2022 12:05,,1.21E+17,Sundance,18,1
1.34E+15,A-Ga-Ming Golf Resort,Kewadin,MI,USA,627 Ag A Ming Drive,7/3/2022 12:05,,1.21E+17,Torch,18,1
1.42E+17,Alpena Country Club,Alpena,MI,USA,1135 Golf Course Road,6/23/2022 10:24,,1.21E+19,Alpena,18,1
1.42E+17,Alpine Golf Club,Comstock Park,MI,USA,6320 Alpine Nw,6/24/2022 9:05,,1.21E+19,Alpine,18,1
1.27E+12,Alwyn Downs,Marshall,MI,USA,1225 S Kalamazoo Ave,6/25/2022 8:41,,1.21E+14,Alwyn Downs,18,1
1.42E+17,Angels Crossing Golf Club,Vicksburg,MI,USA,3600 East W Avenue,6/30/2022 4:07,,1.21E+19,East,18,1
1.47E+15,Antioch Hills Golf Club,Mesick,MI,USA,5441 W. M-115,9/28/2022 10:40,,1.21E+17,Briar Creek,18,1
1.42E+17,Arbor Hills Country Club,Jackson,MI,USA,1426 Arbor Hills Rd,3/2/2023 9:13,,1.21E+14,18-hole course,18,1
1.42E+17,Arcadia Bluffs,Arcadia,MI,USA,14710 Northwood Hwy,7/5/2022 8:33,,1.21E+19,Arcadia Bluffs,18,1
1.42E+17,Arcadia Bluffs,Arcadia,MI,USA,14710 Northwood Hwy,7/5/2022 8:33,,1.22E+17,South Course,18,1
1.42E+17,Arrowhead Golf Course,Lowell,MI,USA,2170 Alden Nash Ne,9/1/2022 5:54,,1.21E+19,Arrowhead,18,1
1.42E+17,Bald Mountain Golf Club,Lake Orion,MI,USA,3350 Kern Rd,8/19/2022 10:54,,1.11E+17,9-hole course,9,0
1.42E+17,Bald Mountain Golf Club,Lake Orion,MI,USA,3350 Kern Rd,8/19/2022 10:54,,1.21E+19,Championship,18,0
1.42E+17,Battle Creek Country Club,Battle Creek,MI,USA,318 Country Club Dr,7/26/2022 5:56,,1.21E+19,Battle Creek,18,1
1.42E+17,Bay Harbor Golf Club,Bay Harbor,MI,USA,5800 Coastal Ridge Drive,9/11/2022 10:38,,1.11E+19,Links + Links,18,1
1.42E+17,Bay Harbor Golf Club,Bay Harbor,MI,USA,5800 Coastal Ridge Drive,9/11/2022 10:38,,1.21E+19,Links + Quarry,18,1
1.42E+17,Bay Harbor Golf Club,Bay Harbor,MI,USA,5800 Coastal Ridge Drive,9/11/2022 10:38,,1.31E+19,Links + Preserve,18,1
1.42E+17,Bay Harbor Golf Club,Bay Harbor,MI,USA,5800 Coastal Ridge Drive,9/11/2022 10:38,,2.11E+19,Quarry + Links,18,1
1.42E+17,Bay Harbor Golf Club,Bay Harbor,MI,USA,5800 Coastal Ridge Drive,9/11/2022 10:38,,2.21E+19,Quarry + Quarry,18,1
1.42E+17,Bay Harbor Golf Club,Bay Harbor,MI,USA,5800 Coastal Ridge Drive,9/11/2022 10:38,,2.31E+19,Quarry + Preserve,18,1
1.42E+17,Bay Harbor Golf Club,Bay Harbor,MI,USA,5800 Coastal Ridge Drive,9/11/2022 10:38,,3.11E+19,Preserve + Links,18,1
1.42E+17,Bay Harbor Golf Club,Bay Harbor,MI,USA,5800 Coastal Ridge Drive,9/11/2022 10:38,,3.21E+19,Preserve + Quarry,18,1
1.42E+17,Bay Harbor Golf Club,Bay Harbor,MI,USA,5800 Coastal Ridge Drive,9/11/2022 10:38,,3.31E+19,Preserve + Preserve,18,1
1.34E+15,Bay Pointe GC,West Bloomfield Twp,MI,USA,4001 Haggerty Road,7/28/2022 13:11,,1.21E+17,18-hole course,18,1
1.18E+12,Bay Valley,Bay City,Mi,USA,2470 Old Bridge Road,7/29/2022 8:32,,1.21E+14,Bay Valley,18,1
