"table_name","column_name","data_type","is_nullable"
"SequelizeMeta","name","character varying","NO"
"alembic_version","version_num","character varying","NO"
"favorites","id","uuid","NO"
"favorites","profile_id","uuid","NO"
"favorites","golfclub_id","uuid","NO"
"favorites","created_at","timestamp with time zone","YES"
"geography_columns","f_table_catalog","name","YES"
"geography_columns","f_table_schema","name","YES"
"geography_columns","f_table_name","name","YES"
"geography_columns","f_geography_column","name","YES"
"geography_columns","coord_dimension","integer","YES"
"geography_columns","srid","integer","YES"
"geography_columns","type","text","YES"
"geometry_columns","f_table_catalog","character varying","YES"
"geometry_columns","f_table_schema","name","YES"
"geometry_columns","f_table_name","name","YES"
"geometry_columns","f_geometry_column","name","YES"
"geometry_columns","coord_dimension","integer","YES"
"geometry_columns","srid","integer","YES"
"geometry_columns","type","character varying","YES"
"golfclub","global_id","uuid","NO"
"golfclub","club_name","character varying","NO"
"golfclub","city","character varying","YES"
"golfclub","state","character varying","YES"
"golfclub","country","character varying","YES"
"golfclub","address","character varying","YES"
"golfclub","zip_code","character varying","YES"
"golfclub","lat","double precision","YES"
"golfclub","lng","double precision","YES"
"golfclub","geom","USER-DEFINED","YES"
"golfclub","price_tier","character varying","YES"
"golfclub","difficulty","character varying","YES"
"golfclub","club_membership","character varying","YES"
"golfclub","number_of_holes","integer","YES"
"golfclub","phone","character varying","YES"
"golfclub","fax","character varying","YES"
"golfclub","website","text","YES"
"golfclub","driving_range","boolean","YES"
"golfclub","putting_green","boolean","YES"
"golfclub","chipping_green","boolean","YES"
"golfclub","practice_bunker","boolean","YES"
"golfclub","motor_cart","boolean","YES"
"golfclub","pull_cart","boolean","YES"
"golfclub","golf_clubs_rental","boolean","YES"
"golfclub","club_fitting","boolean","YES"
"golfclub","pro_shop","boolean","YES"
"golfclub","golf_lessons","boolean","YES"
"golfclub","caddie_hire","boolean","YES"
"golfclub","restaurant","boolean","YES"
"golfclub","reception_hall","boolean","YES"
"golfclub","changing_room","boolean","YES"
"golfclub","lockers","boolean","YES"
"golfclub","lodging_on_site","boolean","YES"
"golfclub","contact_name","character varying","YES"
"golfclub","contact_title","character varying","YES"
"golfclub","email_address","character varying","YES"
"golfclub","last_update","date","YES"
"golfclub_reviews","review_id","integer","NO"
"golfclub_reviews","club_id","uuid","YES"
"golfclub_reviews","review_source","character varying","NO"
"golfclub_reviews","review_date","date","NO"
"golfclub_reviews","rating","double precision","YES"
"golfclub_reviews","review_text","text","YES"
"golfclub_reviews","reviewer_name","character varying","YES"
"golfclub_reviews","helpful_votes","integer","YES"
"golfclub_reviews","created_at","timestamp without time zone","YES"
"golfclub_reviews","updated_at","timestamp without time zone","YES"
"golfclub_reviews","pace_of_play_rating","double precision","YES"
"golfclub_reviews","course_conditions_rating","double precision","YES"
"golfclub_reviews","staff_friendliness_rating","double precision","YES"
"golfclub_reviews","value_for_money_rating","double precision","YES"
"golfclub_reviews","off_course_amenities_rating","double precision","YES"
"golfclub_reviews","course_difficulty_rating","double precision","YES"
"golfclub_technology","technology_id","integer","NO"
"golfclub_technology","global_id","uuid","YES"
"golfcourse","global_id","uuid","NO"
"golfcourse","course_name","character varying","NO"
"golfcourse","num_holes","integer","YES"
"golfcourse","geom","USER-DEFINED","YES"
"golfcourse","club_id","uuid","YES"
"golfcourse","has_gps","boolean","YES"
"golfcourse","measure_unit","character varying","YES"
"golfcourse","num_coordinates","integer","YES"
"golfcourse","timestamp_updated","timestamp without time zone","YES"
"golfcourse","lat","double precision","YES"
"golfcourse","lng","double precision","YES"
"golfcourse","course_rating","double precision","YES"
"golfcourse","bogey_rating","double precision","YES"
"golfcourse","slope_rating","double precision","YES"
"golfcourse","effective_playing_length","double precision","YES"
"golfcourse","obstacles","ARRAY","YES"
"golfcourse_obstacles","golfcourse_obstacle_id","integer","NO"
"golfcourse_obstacles","course_id","uuid","YES"
"golfcourse_obstacles","obstacle_id","integer","YES"
"golfer_game_history","game_id","integer","NO"
"golfer_game_history","golfer_id","uuid","YES"
"golfer_game_history","course_id","uuid","YES"
"golfer_game_history","play_date","date","NO"
"golfer_game_history","tee_name","character varying","YES"
"golfer_game_history","total_score","integer","YES"
"golfer_game_history","created_at","timestamp without time zone","YES"
"golfer_profile","handicap_index","numeric","YES"
"golfer_profile","skill_level","character varying","YES"
"golfer_profile","preferred_price_range","character varying","YES"
"golfer_profile","preferred_difficulty","character varying","YES"
"golfer_profile","global_id","uuid","YES"
"golfer_profile","club_id","uuid","YES"
"golfer_profile","golfer_id","uuid","NO"
"golfer_profile","email","character varying","NO"
"golfer_profile","created_at","timestamp without time zone","YES"
"golfer_profile","updated_at","timestamp without time zone","YES"
"golfer_profile","play_frequency","character varying","YES"
"golfer_profile","first_name","character varying","YES"
"golfer_profile","last_name","character varying","YES"
"golfer_profile","golfer_name","text","YES"
"golfer_profile","preferred_tees","character varying","YES"
"golfer_profile","user_id","uuid","YES"
"golfer_saved_courses","golfer_id","uuid","NO"
"golfer_saved_courses","course_id","uuid","NO"
"golfer_saved_courses","saved_at","timestamp without time zone","YES"
"obstacle_types","obstacle_id","integer","NO"
"obstacle_types","obstacle_name","character varying","NO"
"old_course_ids","old_course_id","character varying","NO"
"old_course_ids","course_global_id","uuid","YES"
"profiles","id","uuid","NO"
"profiles","email","text","NO"
"profiles","first_name","text","YES"
"profiles","last_name","text","YES"
"profiles","handicap_index","double precision","YES"
"profiles","preferred_price_range","text","YES"
"profiles","preferred_difficulty","text","YES"
"profiles","skill_level","text","YES"
"profiles","play_frequency","text","YES"
"profiles","club_id","uuid","YES"
"profiles","preferred_tees","text","YES"
"profiles","created_at","timestamp with time zone","NO"
"profiles","updated_at","timestamp with time zone","NO"
"profiles","number_of_holes","text","YES"
"profiles","club_membership","text","YES"
"profiles","driving_range","boolean","YES"
"profiles","putting_green","boolean","YES"
"profiles","chipping_green","boolean","YES"
"profiles","practice_bunker","boolean","YES"
"profiles","restaurant","boolean","YES"
"profiles","lodging_on_site","boolean","YES"
"profiles","motor_cart","boolean","YES"
"profiles","pull_cart","boolean","YES"
"profiles","golf_clubs_rental","boolean","YES"
"profiles","club_fitting","boolean","YES"
"profiles","golf_lessons","boolean","YES"
"profiles","user_id","uuid","YES"
"spatial_ref_sys","srid","integer","NO"
"spatial_ref_sys","auth_name","character varying","YES"
"spatial_ref_sys","auth_srid","integer","YES"
"spatial_ref_sys","srtext","character varying","YES"
"spatial_ref_sys","proj4text","character varying","YES"
"technologyintegration","technology_id","integer","NO"
"technologyintegration","technology_name","character varying","NO"
"technologyintegration","global_id","uuid","YES"
"tees","tee_id","integer","NO"
"tees","course_id","uuid","YES"
"tees","tee_name","character varying","YES"
"tees","tee_color","character varying","YES"
"tees","total_length","integer","YES"
"tees","course_rating","double precision","YES"
"tees","slope_rating","double precision","YES"
